fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 181750	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	0.1	50	0.5	FALSE	100019	0.135102331150138	0.847027216791175	6740	1125	0.0180314823512342	14542	17876000	24
20221028 181957	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	0.1	50	0.5	FALSE	100019	0.199426223197695	0.382154324879125	135	2044	0.000000499850436772913	11857	16046000	25
20221028 182454	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	823	1	1	1	0.1	50	0.5	FALSE	100019	0.065023384301346	0.776329656385569	506	1239	0.00000175902887336196	13223	18674000	26
20221028 182756	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	828	1	1	1	0.1	50	0.5	FALSE	100019	0.100859310297835	0.299614106619297	581	521	0.00000309349917121274	14633	15454000	27
20221028 183217	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	585	1	1	1	0.1	50	0.5	FALSE	100019	0.0873581701827709	0.708080030511512	555	1598	0.00000218763646665255	13802	17276000	28
20221028 183404	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	0.1	50	0.5	FALSE	100019	0.257862879338703	0.668173416866548	2271	1609	0.0000324483357298587	14785	15710000	29
20221028 191413	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	0.1	50	0.5	FALSE	100019	0.0788794761008138	0.646213403813436	548	1686	1.39882384555049e-06	14339	17402000	30
20221028 191605	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	0.1	50	0.5	FALSE	100019	0.257862879338703	0.668173416866548	2271	1609	3.2448335679888e-05	14785	15710000	31
20221028 194352	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1351	1	1	1	0.1	50	0.5	FALSE	100019	0.0288105463889218	0.753626911454275	263	1277	2.34582667486134e-06	13395	19210000	32
20221028 194558	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	0.1	50	0.5	FALSE	100019	0.0703619062324974	0.804993492499553	2061	1391	0.010400520650941	15333	17254000	33
20221028 194939	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	753	1	1	1	0.1	50	0.5	FALSE	100019	0.269698321026228	0.283794068685547	3742	611	5.27015536984368e-06	14328	15584000	34
20221028 195043	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	0.1	50	0.5	FALSE	100019	0.126755383487111	0.729755120292679	4515	701	0.016361733596719	15409	17102000	35
20221028 200530	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3327	1	1	1	0.1	50	0.5	FALSE	100019	0.00958816232581506	0.618613854062557	5468	1483	0.0142027200000021	13436	19528000	36
20221028 200827	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	761	1	1	1	0.1	50	0.5	FALSE	100019	0.0465111887315236	0.589726091312969	5441	1320	0.0108496958897461	14544	18752000	37
20221028 202123	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4247	1	1	1	0.1	50	0.5	FALSE	100019	0.00508768403393252	0.848990945809728	5166	1550	0.0172996922123536	14042	19196000	38
20221028 203214	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4021	1	1	1	0.1	50	0.5	FALSE	100019	0.01257098976599	0.871388341277533	5667	1557	0.00751302492799857	12760	19440000	39
20221028 204345	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3435	1	1	1	0.1	50	0.5	FALSE	100019	0.00511454394007335	0.411749689945159	5544	1760	0.0183828151623153	15161	18478000	40
20221028 205353	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	0.1	50	0.5	FALSE	100019	0.0058795019194523	0.53971866279436	471	1367	0.0151603725249513	13829	19062000	41
20221028 211526	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4965	1	1	1	0.1	50	0.5	FALSE	100019	0.00512921108945317	0.470429851280168	5974	1508	0.0198975920374947	13084	19992000	42
20221028 213301	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6564	1	1	1	0.1	50	0.5	FALSE	100019	0.00512312410129571	0.682990641638306	6154	1383	0.0146975801071818	13526	19268000	43
20221028 214022	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2865	1	1	1	0.1	50	0.5	FALSE	100019	0.00566318817384749	0.202372836538967	6058	1527	0.0175794909111265	16411	17178000	44
