fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 231637	-0.999741845963891	3499.91740736973	999.912016856867	3	5	18266666.6666667	99
20220911 231657	-0.722592723013812	3710.021704297	124.137468915685	13	5	17880000	100
20220911 231709	-0.716076509018887	256.666327114088	123.599451751929	7	5	22320000	101
20220911 231723	-0.999454169977401	4998.69996588984	582.074356303293	20	5	17253333.3333333	102
20220911 231731	-0.714116653967048	4422.0913784456	784.278065499664	3	5	17706666.6666667	103
20220911 231742	-0.999958872626638	540.176519414507	124.288761625227	7	5	22146666.6666667	104
20220911 231757	-0.347387660589573	1303.25431281092	127.331869882722	13	5	21120000	105
20220911 231811	-0.141945089725952	3335.41178907806	999.782717036955	14	5	18133333.3333333	106
20220911 231825	-0.999484537962606	4995.64680632931	996.377517612932	16	5	18080000	107
20220911 231839	-0.535562595572936	4999.83138471167	999.963644254012	19	5	17640000	108
20220911 231859	-0.159057387238003	1255.07426514284	1.21170509398585	20	5	18786666.6666667	109
20220911 231914	-0.592971927882327	1404.46418036931	326.354682894543	19	5	20653333.3333333	110
20220911 231925	-0.0945210817314857	3050.31826044724	541.207272120924	6	5	18946666.6666667	111
20220911 231936	-0.328906504780451	1465.65904360184	495.253435579474	7	5	19666666.6666667	112
20220911 231954	-0.338192880728323	4995.50719878619	1.82484079254362	20	5	16706666.6666667	113
20220911 232006	-0.999683939769101	2140.35972259352	862.308216338554	7	5	18720000	114
20220911 232020	-0.332428601799942	1847.33997492568	923.479905857224	16	5	18200000	115
20220911 232032	-0.723647536540423	481.643022896831	124.50431398622	7	5	22280000	116
