fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 015416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	111119	0.0791996965573465	0.401833513421893	4545	827	9699	26930000	38
20221002 015437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	111119	0.0817063004247473	0.301082860168053	4506	641	9741	26360000	39
20221002 015453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	111119	0.126970577310102	0.586241313479259	4502	858	9607	26470000	40
20221002 015531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	261	TRUE	111119	0.0742445806670921	0.434985174149112	4561	716	10017	26770000	41
20221002 015551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	111119	0.105358367749004	0.415941169130395	4692	728	9403	26640000	42
20221002 015615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	111119	0.0816458400828254	0.40242263617866	4565	717	9481	26560000	43
20221002 015636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	111119	0.0896665877284605	0.209474789007822	4631	732	9913	26020000	44
20221002 015654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	111119	0.147119462457905	0.392217103274635	4694	729	9822	26760000	45
20221002 015713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	111119	0.103073289685956	0.579511264982364	5768	647	9807	26870000	46
20221002 015733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	111119	0.0993808474575862	0.383323776500287	5617	680	9821	26600000	47
20221002 015831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	353	TRUE	111119	0.0298056712949694	0.484725490181334	5117	639	9775	27010000	48
20221002 015850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	111119	0.090482619767369	0.611717272208845	4714	664	9771	26620000	49
20221002 015925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	227	TRUE	111119	0.0625728782231308	0.509334256853605	6274	621	9736	26690000	50
20221002 015941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	111119	0.158274585518029	0.765334861648383	5888	750	8263	26440000	51
20221002 020005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	111119	0.100565478110014	0.555802939016404	6124	739	9815	27010000	52
20221002 020027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	111119	0.138765325995673	0.707013402297776	5862	812	9660	25960000	53
